unique_id,detection_datetime,seconds_in,run_dist,x_distance,velocity,grid_dist,detection,brand,cover,canopy,shrub,temp
RM-14-7,2022-03-25T15:54:08Z,8,20,15,2,3,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:55:05Z,5,20,15,2,0,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:56:07Z,7,20,20,2,2,1,cudde,73.61,93,18,0
RM-14-7,2022-03-25T15:56:09Z,9,20,20,2,5,1,cudde,73.61,93,18,0
RM-14-8,2022-03-25T17:13:06Z,6,20,3,2,2,1,cudde,95.83,81.25,27.5,0
RM-14-8,2022-03-25T17:14:06Z,6,20,3,2,1,1,cudde,95.83,81.25,27.5,0
RM-14-8,2022-03-25T17:15:07Z,7,20,3,2,4,1,cudde,95.83,81.25,27.5,0
RM-14-8,2022-03-25T17:17:06Z,6,20,3,2,2,1,cudde,95.83,81.25,27.5,0
RM-14-8,2022-03-25T17:18:07Z,7,20,3,2,4,1,cudde,95.83,81.25,27.5,0
RM-14-8,2022-03-25T17:19:06Z,6,20,5,2,1,1,cudde,95.83,81.25,27.5,0
RM-14-8,2022-03-25T17:21:04Z,4,20,5,2,-3,1,cudde,95.83,81.25,27.5,0
RM-14-8,2022-03-25T17:21:07Z,7,20,5,2,2,1,cudde,95.83,81.25,27.5,0
RM-14-8,2022-03-25T17:22:10Z,10,20,5,1,4,1,cudde,95.83,81.25,27.5,0
RM-14-8,2022-03-25T17:23:07Z,7,20,5,2,3,1,cudde,95.83,81.25,27.5,0
RM-14-8,2022-03-25T17:24:08Z,8,20,5,2,2,1,cudde,95.83,81.25,27.5,0
RM-19-9,2022-03-28T12:54:19Z,6,20,3,1,-2,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T12:55:03Z,6,20,3,2,2,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T12:55:49Z,4,20,3,2,-4,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T12:56:06Z,4,20,3,2,-1,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T12:56:22Z,4,20,5,2,-2,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T12:56:41Z,3,20,5,2,-3,1,reconyx,68.06,49.25,83,4
RM-19-9,2022-03-28T12:56:57Z,4,20,5,2,-3,1,reconyx,68.06,49.25,83,4
