unique_id,num_photos,sensitivity,detection.x,detection_time,sec_in,x_distance,duration,velocity.y,y_dist,date
WP-9,2,4,1,2022-02-09T21:23:03Z,7,12,12,1.6666666666666667,11.666666666666668,2022-02-09
WP-9,2,4,1,2022-02-09T21:23:26Z,3,12,9,2.2222222222222223,6.666666666666667,2022-02-09
WP-9,2,4,1,2022-02-09T21:23:27Z,4,12,9,2.2222222222222223,8.88888888888889,2022-02-09
WP-9,2,4,1,2022-02-09T21:23:28Z,5,12,9,2.2222222222222223,11.11111111111111,2022-02-09
WP-9,2,4,1,2022-02-09T21:23:29Z,6,12,9,2.2222222222222223,13.333333333333334,2022-02-09
WP-9,2,4,1,2022-02-09T21:22:56Z,0,12,12,1.6666666666666667,0,2022-02-09
WP-9,2,4,1,2022-02-09T21:22:57Z,1,12,12,1.6666666666666667,1.6666666666666667,2022-02-09
WP-9,2,4,1,2022-02-09T21:22:58Z,2,12,12,1.6666666666666667,3.3333333333333335,2022-02-09
WP-9,2,4,1,2022-02-09T21:23:21Z,3,12,8,2.5,7.5,2022-02-09
WP-9,2,4,1,2022-02-09T21:23:22Z,4,12,8,2.5,10,2022-02-09
WP-9,2,4,1,2022-02-09T21:23:23Z,0,12,9,2.2222222222222223,0,2022-02-09
WP-9,2,4,1,2022-02-09T21:23:53Z,2,15,10,2,4,2022-02-09
WP-9,2,4,1,2022-02-09T21:23:54Z,3,15,10,2,6,2022-02-09
WP-9,2,4,1,2022-02-09T21:23:55Z,4,15,10,2,8,2022-02-09
WP-9,2,4,1,2022-02-09T21:23:56Z,5,15,10,2,10,2022-02-09
WP-9,2,4,1,2022-02-09T21:23:57Z,6,15,10,2,12,2022-02-09
WP-9,2,4,1,2022-02-09T21:23:58Z,7,15,10,2,14,2022-02-09
WP-9,2,4,1,2022-02-09T21:24:29Z,3,15,10,2,6,2022-02-09
WP-9,2,4,1,2022-02-09T21:24:30Z,4,15,10,2,8,2022-02-09
WP-9,2,4,1,2022-02-09T21:24:31Z,5,15,10,2,10,2022-02-09
WP-9,2,4,1,2022-02-09T21:24:32Z,6,15,10,2,12,2022-02-09
WP-9,2,4,1,2022-02-09T21:24:33Z,7,15,10,2,14,2022-02-09
WP-9,2,4,1,2022-02-09T21:24:34Z,8,15,10,2,16,2022-02-09
WP-9,2,4,1,2022-02-09T21:24:54Z,3,15,9,2.2222222222222223,6.666666666666667,2022-02-09
WP-9,2,4,1,2022-02-09T21:24:55Z,4,15,9,2.2222222222222223,8.88888888888889,2022-02-09
WP-9,2,4,1,2022-02-09T21:24:56Z,5,15,9,2.2222222222222223,11.11111111111111,2022-02-09
